company,job_id,job_title,department,location,url,post_date,scrape_date
Airbnb,7135296,"Senior Counsel, APAC Employment & Ethics",Legal,"Gurugram , India",https://careers.airbnb.com/positions/7135296?gh_jid=7135296,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,7083295,"Senior Data Engineer, Infrastructure",Engineering,United States,https://careers.airbnb.com/positions/7083295?gh_jid=7083295,2025-08-21T19:19:22-04:00,22-08-2025
Airbnb,6900433,Senior Data & Reporting Analyst,Data & Analytics,"Gurgaon, India",https://careers.airbnb.com/positions/6900433?gh_jid=6900433,2025-08-13T05:50:59-04:00,22-08-2025
Airbnb,6705551,"Senior Data Scientist, Computer Vision",Data & Analytics,United States,https://careers.airbnb.com/positions/6705551?gh_jid=6705551,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,6529627,"Senior Data Scientist, Trust - Algorithms",Data & Analytics,United States,https://careers.airbnb.com/positions/6529627?gh_jid=6529627,2025-08-20T12:22:10-04:00,22-08-2025
Airbnb,6630157,"Senior Design Manager, Production Design",Product,United States,https://careers.airbnb.com/positions/6630157?gh_jid=6630157,2025-08-19T11:54:34-04:00,22-08-2025
Airbnb,6756599,"Senior Frontend Engineer, Client Media Foundation",Engineering,United States,https://careers.airbnb.com/positions/6756599?gh_jid=6756599,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,6856155,Senior Fullstack Engineer Community Support Engineering,Engineering,"Remote, USA ",https://careers.airbnb.com/positions/6856155?gh_jid=6856155,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,7083742,"Senior Fullstack Engineer, i18n Infrastructure",Engineering,Remote - USA,https://careers.airbnb.com/positions/7083742?gh_jid=7083742,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,7114552,"Senior Full Stack Software Engineer, Tax Experience, BizTech",Engineering,"San Francisco, CA",https://careers.airbnb.com/positions/7114552?gh_jid=7114552,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,7120412,Senior Host Communications Channels Lead,Marketing,United States ,https://careers.airbnb.com/positions/7120412?gh_jid=7120412,2025-08-15T12:28:04-04:00,22-08-2025
Airbnb,7113668,"Senior iOS Engineer, DLS Foundation",Engineering,United States,https://careers.airbnb.com/positions/7113668?gh_jid=7113668,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,7043031,"Senior iOS Engineer, Global Markets ",Engineering,China,https://careers.airbnb.com/positions/7043031?gh_jid=7043031,2025-08-12T09:20:04-04:00,22-08-2025
Airbnb,6602371,"Senior iOS Engineer, Search Feed",Engineering,"Remote, USA",https://careers.airbnb.com/positions/6602371?gh_jid=6602371,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,7166126,"Senior Lead, Corporate and Policy Communications, LATAM (Mexico City, Mexico)",Marketing,"Mexico City, Mexico",https://careers.airbnb.com/positions/7166126?gh_jid=7166126,2025-08-13T14:21:06-04:00,22-08-2025
Airbnb,7166086,"Senior Lead, Corporate and Policy Communications, LATAM (Miami, USA)",Marketing,"Miami, United States",https://careers.airbnb.com/positions/7166086?gh_jid=7166086,2025-08-13T14:21:07-04:00,22-08-2025
Airbnb,7166141,"Senior Lead, Corporate and Policy Communications, LATAM (São Paulo, Brazil)",Marketing,"São Paulo, Brazil",https://careers.airbnb.com/positions/7166141?gh_jid=7166141,2025-08-13T14:21:09-04:00,22-08-2025
Airbnb,7070660,"Senior Machine Learning Engineering, Trust",Engineering,United States,https://careers.airbnb.com/positions/7070660?gh_jid=7070660,2025-08-21T16:28:09-04:00,22-08-2025
Airbnb,7185448,"Senior Machine Learning Engineer, Trust & Safety",Engineering,"Bangalore, India",https://careers.airbnb.com/positions/7185448?gh_jid=7185448,2025-08-22T01:52:40-04:00,22-08-2025
Airbnb,7106587,"Senior Manager, Advanced Analytics, International",Data & Analytics,United States,https://careers.airbnb.com/positions/7106587?gh_jid=7106587,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,7167656,"Senior Manager, Advanced Analytics, Marketing",Marketing,United States,https://careers.airbnb.com/positions/7167656?gh_jid=7167656,2025-08-18T13:36:39-04:00,22-08-2025
